Campaign,Week,Impressions,Clicks,Cost,Conversions,Revenue
Client A (Dental) | Google Ads - Brand,Week 1,1831,162,324,16,2300
Client A (Dental) | Google Ads - Brand,Week 2,1260,139,329,15,1975
Client A (Dental) | Google Ads - Brand,Week 3,1789,160,345,13,1949
Client A (Dental) | Google Ads - Brand,Week 4,1716,160,341,15,2022
Client A (Dental) | Google Ads - Brand,Week 5,1467,147,324,13,1966
Client A (Dental) | Google Ads - Brand,Week 6,1352,143,291,11,1525
Client A (Dental) | Google Ads - Brand,Week 7,1662,159,346,17,2247
Client A (Dental) | Google Ads - Brand,Week 8,1536,145,338,15,2197
Client A (Dental) | Google Ads - Brand,Week 9,1322,146,302,13,2033
Client A (Dental) | Google Ads - Brand,Week 10,1322,146,338,15,2013
Client A (Dental) | Google Ads - Brand,Week 11,1174,128,292,10,1423
Client A (Dental) | Google Ads - Brand,Week 12,1352,139,293,12,1700
Client A (Dental) | Google Ads - Treatments,Week 1,2999,112,473,8,1304
Client A (Dental) | Google Ads - Treatments,Week 2,2930,104,475,7,1191
Client A (Dental) | Google Ads - Treatments,Week 3,2888,112,463,8,1396
Client A (Dental) | Google Ads - Treatments,Week 4,2627,94,459,9,1563
Client A (Dental) | Google Ads - Treatments,Week 5,2937,100,451,9,1341
Client A (Dental) | Google Ads - Treatments,Week 6,2982,109,457,9,1446
Client A (Dental) | Google Ads - Treatments,Week 7,3203,109,451,7,1210
Client A (Dental) | Google Ads - Treatments,Week 8,3311,118,530,12,1835
Client A (Dental) | Google Ads - Treatments,Week 9,2996,111,498,10,1662
Client A (Dental) | Google Ads - Treatments,Week 10,2374,99,446,9,1455
Client A (Dental) | Google Ads - Treatments,Week 11,3093,114,487,9,1476
Client A (Dental) | Google Ads - Treatments,Week 12,3357,113,469,9,1546
Client A (Dental) | Google Ads - Emergency,Week 1,1054,53,347,12,1352
Client A (Dental) | Google Ads - Emergency,Week 2,953,48,313,9,1133
Client A (Dental) | Google Ads - Emergency,Week 3,1064,60,371,11,1365
Client A (Dental) | Google Ads - Emergency,Week 4,1183,58,372,13,1418
Client A (Dental) | Google Ads - Emergency,Week 5,1003,54,340,12,1297
Client A (Dental) | Google Ads - Emergency,Week 6,1075,61,361,13,1576
Client A (Dental) | Google Ads - Emergency,Week 7,1292,67,363,12,1420
Client A (Dental) | Google Ads - Emergency,Week 8,1254,68,380,11,1317
Client A (Dental) | Google Ads - Emergency,Week 9,958,57,369,12,1457
Client A (Dental) | Google Ads - Emergency,Week 10,1037,55,330,8,1003
Client A (Dental) | Google Ads - Emergency,Week 11,953,50,325,11,1390
Client A (Dental) | Google Ads - Emergency,Week 12,988,54,344,11,1385
Client A (Dental) | Meta - Awareness,Week 1,19720,141,184,1,124
Client A (Dental) | Meta - Awareness,Week 2,22226,162,196,1,124
Client A (Dental) | Meta - Awareness,Week 3,27186,175,196,2,256
Client A (Dental) | Meta - Awareness,Week 4,24435,153,184,1,143
Client A (Dental) | Meta - Awareness,Week 5,23468,154,193,1,138
Client A (Dental) | Meta - Awareness,Week 6,23489,163,211,1,134
Client A (Dental) | Meta - Awareness,Week 7,26722,172,198,2,271
Client A (Dental) | Meta - Awareness,Week 8,25528,188,205,2,247
Client A (Dental) | Meta - Awareness,Week 9,24111,161,206,1,119
Client A (Dental) | Meta - Awareness,Week 10,18591,145,184,2,250
Client A (Dental) | Meta - Awareness,Week 11,19801,150,196,1,142
Client A (Dental) | Meta - Awareness,Week 12,20557,148,184,2,257
Client A (Dental) | Meta - Retargeting,Week 1,4777,84,145,3,439
Client A (Dental) | Meta - Retargeting,Week 2,6329,96,158,4,563
Client A (Dental) | Meta - Retargeting,Week 3,5578,90,167,4,514
Client A (Dental) | Meta - Retargeting,Week 4,5614,84,154,3,450
Client A (Dental) | Meta - Retargeting,Week 5,5171,87,163,3,389
Client A (Dental) | Meta - Retargeting,Week 6,4251,76,146,3,425
Client A (Dental) | Meta - Retargeting,Week 7,6226,91,152,3,459
Client A (Dental) | Meta - Retargeting,Week 8,5997,93,166,3,409
Client A (Dental) | Meta - Retargeting,Week 9,4381,74,146,3,451
Client A (Dental) | Meta - Retargeting,Week 10,4998,83,144,3,424
Client A (Dental) | Meta - Retargeting,Week 11,5148,81,152,3,397
Client A (Dental) | Meta - Retargeting,Week 12,4400,76,148,3,449
Client B (HVAC) | Google Ads - Brand,Week 1,1260,121,370,13,2274
Client B (HVAC) | Google Ads - Brand,Week 2,1358,129,339,10,1791
Client B (HVAC) | Google Ads - Brand,Week 3,1391,132,354,12,2075
Client B (HVAC) | Google Ads - Brand,Week 4,1191,121,362,14,2361
Client B (HVAC) | Google Ads - Brand,Week 5,1555,174,442,14,2355
Client B (HVAC) | Google Ads - Brand,Week 6,1770,188,573,19,3265
Client B (HVAC) | Google Ads - Brand,Week 7,2219,201,531,18,3060
Client B (HVAC) | Google Ads - Brand,Week 8,2229,197,560,16,2969
Client B (HVAC) | Google Ads - Brand,Week 9,1971,179,457,16,2729
Client B (HVAC) | Google Ads - Brand,Week 10,1338,134,381,13,2377
Client B (HVAC) | Google Ads - Brand,Week 11,1334,118,362,12,2328
Client B (HVAC) | Google Ads - Brand,Week 12,1349,125,386,11,2232
Client B (HVAC) | Google Ads - Heating,Week 1,2816,110,633,12,2711
Client B (HVAC) | Google Ads - Heating,Week 2,2496,115,580,10,2145
Client B (HVAC) | Google Ads - Heating,Week 3,2265,86,480,10,1973
Client B (HVAC) | Google Ads - Heating,Week 4,1835,77,454,7,1603
Client B (HVAC) | Google Ads - Heating,Week 5,1902,86,491,10,2137
Client B (HVAC) | Google Ads - Heating,Week 6,1852,69,412,8,1706
Client B (HVAC) | Google Ads - Heating,Week 7,1836,84,424,8,1649
Client B (HVAC) | Google Ads - Heating,Week 8,2343,87,462,9,1764
Client B (HVAC) | Google Ads - Heating,Week 9,1945,85,426,6,1264
Client B (HVAC) | Google Ads - Heating,Week 10,2183,83,483,8,1779
Client B (HVAC) | Google Ads - Heating,Week 11,2498,108,539,12,2450
Client B (HVAC) | Google Ads - Heating,Week 12,3343,131,651,11,2435
Client B (HVAC) | Google Ads - Cooling,Week 1,1617,76,465,8,1781
Client B (HVAC) | Google Ads - Cooling,Week 2,2036,89,496,7,1728
Client B (HVAC) | Google Ads - Cooling,Week 3,1709,87,480,7,1619
Client B (HVAC) | Google Ads - Cooling,Week 4,1797,86,529,7,1560
Client B (HVAC) | Google Ads - Cooling,Week 5,2404,113,696,8,1729
Client B (HVAC) | Google Ads - Cooling,Week 6,2660,118,680,10,2413
Client B (HVAC) | Google Ads - Cooling,Week 7,3401,153,847,11,2756
Client B (HVAC) | Google Ads - Cooling,Week 8,3204,140,824,10,2465
Client B (HVAC) | Google Ads - Cooling,Week 9,2288,112,633,11,2593
Client B (HVAC) | Google Ads - Cooling,Week 10,1650,71,463,7,1725
Client B (HVAC) | Google Ads - Cooling,Week 11,1753,92,558,8,1691
Client B (HVAC) | Google Ads - Cooling,Week 12,1657,85,475,5,1220
Client B (HVAC) | Google Ads - Emergency,Week 1,944,61,442,10,1967
Client B (HVAC) | Google Ads - Emergency,Week 2,941,59,456,12,2535
