Campaign,Week,Impressions,Clicks,Cost,Conversions,Revenue
Google Ads - Brand | Exact,Week 1,2405,346,783,14,7879
Google Ads - Brand | Exact,Week 2,2373,346,880,13,7553
Google Ads - Brand | Exact,Week 3,2364,369,941,19,10424
Google Ads - Brand | Exact,Week 4,3155,408,945,13,7878
Google Ads - Brand | Exact,Week 5,2145,335,792,15,9232
Google Ads - Brand | Exact,Week 6,2877,358,905,16,9957
Google Ads - Brand | Exact,Week 7,2440,336,858,16,9791
Google Ads - Brand | Exact,Week 8,2490,317,819,15,8845
Google Ads - Brand | Exact,Week 9,2088,321,766,13,7829
Google Ads - Brand | Exact,Week 10,2393,368,951,18,9433
Google Ads - Brand | Exact,Week 11,2369,330,851,15,8379
Google Ads - Brand | Exact,Week 12,2344,306,826,12,6707
Google Ads - Brand | Broad,Week 1,2376,187,585,10,5170
Google Ads - Brand | Broad,Week 2,3145,241,713,12,5907
Google Ads - Brand | Broad,Week 3,2592,206,656,7,3878
Google Ads - Brand | Broad,Week 4,2581,225,699,9,4400
Google Ads - Brand | Broad,Week 5,2379,204,613,8,4566
Google Ads - Brand | Broad,Week 6,3139,262,709,11,5821
Google Ads - Brand | Broad,Week 7,2230,191,585,9,4859
Google Ads - Brand | Broad,Week 8,2169,193,593,10,4706
Google Ads - Brand | Broad,Week 9,2446,207,581,8,4166
Google Ads - Brand | Broad,Week 10,2820,240,710,11,5268
Google Ads - Brand | Broad,Week 11,2949,216,687,10,4943
Google Ads - Brand | Broad,Week 12,3215,236,662,11,5732
Google Ads - Brand | Product Names,Week 1,1569,173,510,9,5294
Google Ads - Brand | Product Names,Week 2,1693,178,515,9,5152
Google Ads - Brand | Product Names,Week 3,1785,191,536,9,5001
Google Ads - Brand | Product Names,Week 4,1792,199,518,9,4661
Google Ads - Brand | Product Names,Week 5,1725,192,525,9,4912
Google Ads - Brand | Product Names,Week 6,1862,184,536,9,4574
Google Ads - Brand | Product Names,Week 7,1625,179,491,7,4004
Google Ads - Brand | Product Names,Week 8,1741,168,449,7,3894
Google Ads - Brand | Product Names,Week 9,1917,185,530,10,5230
Google Ads - Brand | Product Names,Week 10,1877,178,455,7,4160
Google Ads - Brand | Product Names,Week 11,1633,165,481,8,4633
Google Ads - Brand | Product Names,Week 12,1560,165,457,7,4145
Google Ads - Generic | Analytics Software,Week 1,4892,109,646,3,1324
Google Ads - Generic | Analytics Software,Week 2,5156,124,636,5,2303
Google Ads - Generic | Analytics Software,Week 3,5872,130,767,4,1914
Google Ads - Generic | Analytics Software,Week 4,5268,130,691,4,2055
Google Ads - Generic | Analytics Software,Week 5,5162,135,809,5,2592
Google Ads - Generic | Analytics Software,Week 6,5708,156,828,5,2373
Google Ads - Generic | Analytics Software,Week 7,6726,161,832,5,2544
Google Ads - Generic | Analytics Software,Week 8,4747,131,742,5,2295
Google Ads - Generic | Analytics Software,Week 9,6876,153,786,5,2272
Google Ads - Generic | Analytics Software,Week 10,6182,146,774,5,2234
Google Ads - Generic | Analytics Software,Week 11,6826,152,827,4,2072
Google Ads - Generic | Analytics Software,Week 12,6027,159,804,6,2709
Google Ads - Generic | BI Platform,Week 1,3505,85,533,2,1100
Google Ads - Generic | BI Platform,Week 2,3637,89,514,3,1406
Google Ads - Generic | BI Platform,Week 3,4320,93,606,3,1491
Google Ads - Generic | BI Platform,Week 4,4315,103,575,3,1672
Google Ads - Generic | BI Platform,Week 5,4326,99,533,3,1625
Google Ads - Generic | BI Platform,Week 6,4084,100,608,4,1886
Google Ads - Generic | BI Platform,Week 7,4126,100,632,4,1980
Google Ads - Generic | BI Platform,Week 8,4244,102,660,2,1016
Google Ads - Generic | BI Platform,Week 9,5878,114,658,3,1674
Google Ads - Generic | BI Platform,Week 10,4816,106,614,4,1918
Google Ads - Generic | BI Platform,Week 11,5196,119,670,2,1127
Google Ads - Generic | BI Platform,Week 12,5095,117,655,3,1701
Google Ads - Generic | Dashboard Tools,Week 1,5202,113,563,3,1297
Google Ads - Generic | Dashboard Tools,Week 2,5559,131,645,5,2107
Google Ads - Generic | Dashboard Tools,Week 3,6479,136,674,3,1283
Google Ads - Generic | Dashboard Tools,Week 4,5460,138,681,4,1623
Google Ads - Generic | Dashboard Tools,Week 5,4645,112,588,4,1828
Google Ads - Generic | Dashboard Tools,Week 6,5483,134,626,3,1432
Google Ads - Generic | Dashboard Tools,Week 7,5064,119,586,3,1312
Google Ads - Generic | Dashboard Tools,Week 8,5708,119,606,5,2125
Google Ads - Generic | Dashboard Tools,Week 9,6545,153,701,4,1935
Google Ads - Generic | Dashboard Tools,Week 10,6872,152,745,5,2363
Google Ads - Generic | Dashboard Tools,Week 11,6487,154,720,5,2362
Google Ads - Generic | Dashboard Tools,Week 12,6954,174,805,4,1758
Google Ads - Generic | Data Visualization,Week 1,3157,79,471,3,1446
Google Ads - Generic | Data Visualization,Week 2,3649,88,461,2,1013
Google Ads - Generic | Data Visualization,Week 3,3443,86,496,3,1505
Google Ads - Generic | Data Visualization,Week 4,3236,85,456,2,995
Google Ads - Generic | Data Visualization,Week 5,4406,100,543,3,1395
Google Ads - Generic | Data Visualization,Week 6,3435,80,458,2,1050
Google Ads - Generic | Data Visualization,Week 7,3480,93,573,3,1408
Google Ads - Generic | Data Visualization,Week 8,4095,95,577,3,1464
