Campaign,Week,Impressions,Clicks,Cost,Conversions,Revenue
Google Ads - Brand | Exact Match,Week 1,1131,129,198,10,1912
Google Ads - Brand | Exact Match,Week 2,1267,139,208,10,1715
Google Ads - Brand | Exact Match,Week 3,1114,149,243,11,2094
Google Ads - Brand | Exact Match,Week 4,1332,147,241,10,1826
Google Ads - Brand | Exact Match,Week 5,1147,125,195,9,1516
Google Ads - Brand | Exact Match,Week 6,1244,142,212,9,1702
Google Ads - Brand | Exact Match,Week 7,1044,134,222,11,2126
Google Ads - Brand | Exact Match,Week 8,1040,130,228,9,1739
Google Ads - Brand | Exact Match,Week 9,1326,145,211,10,1855
Google Ads - Brand | Exact Match,Week 10,1095,131,207,10,1864
Google Ads - Brand | Exact Match,Week 11,996,119,200,11,1826
Google Ads - Brand | Exact Match,Week 12,1194,143,233,12,2225
Google Ads - Brand | Broad Match,Week 1,1523,112,266,8,1281
Google Ads - Brand | Broad Match,Week 2,1614,133,288,12,2044
Google Ads - Brand | Broad Match,Week 3,1492,132,303,9,1581
Google Ads - Brand | Broad Match,Week 4,1399,121,264,9,1413
Google Ads - Brand | Broad Match,Week 5,1712,129,279,11,1766
Google Ads - Brand | Broad Match,Week 6,1500,130,297,10,1745
Google Ads - Brand | Broad Match,Week 7,1511,114,250,9,1521
Google Ads - Brand | Broad Match,Week 8,1624,131,266,11,1759
Google Ads - Brand | Broad Match,Week 9,1561,136,303,9,1570
Google Ads - Brand | Broad Match,Week 10,1462,118,270,10,1584
Google Ads - Brand | Broad Match,Week 11,1532,114,263,8,1367
Google Ads - Brand | Broad Match,Week 12,1418,124,294,12,1950
Google Ads - Non-Brand | Emergency Plumber,Week 1,781,39,350,6,1568
Google Ads - Non-Brand | Emergency Plumber,Week 2,852,47,377,6,1647
Google Ads - Non-Brand | Emergency Plumber,Week 3,997,53,404,7,1582
Google Ads - Non-Brand | Emergency Plumber,Week 4,779,38,336,6,1627
Google Ads - Non-Brand | Emergency Plumber,Week 5,1204,61,470,7,1918
Google Ads - Non-Brand | Emergency Plumber,Week 6,1600,80,668,14,3290
Google Ads - Non-Brand | Emergency Plumber,Week 7,1651,86,714,8,2076
Google Ads - Non-Brand | Emergency Plumber,Week 8,1365,69,559,9,2311
Google Ads - Non-Brand | Emergency Plumber,Week 9,1023,50,424,7,1780
Google Ads - Non-Brand | Emergency Plumber,Week 10,944,51,409,6,1588
Google Ads - Non-Brand | Emergency Plumber,Week 11,941,53,413,5,1375
Google Ads - Non-Brand | Emergency Plumber,Week 12,882,43,369,8,1868
Google Ads - Non-Brand | General Plumbing,Week 1,1945,66,377,7,886
Google Ads - Non-Brand | General Plumbing,Week 2,1722,65,364,7,909
Google Ads - Non-Brand | General Plumbing,Week 3,1738,60,321,6,699
Google Ads - Non-Brand | General Plumbing,Week 4,1881,67,333,5,634
Google Ads - Non-Brand | General Plumbing,Week 5,1623,60,355,6,693
Google Ads - Non-Brand | General Plumbing,Week 6,1910,62,322,6,755
Google Ads - Non-Brand | General Plumbing,Week 7,1703,64,361,6,722
Google Ads - Non-Brand | General Plumbing,Week 8,1797,62,316,6,782
Google Ads - Non-Brand | General Plumbing,Week 9,1559,61,362,7,820
Google Ads - Non-Brand | General Plumbing,Week 10,2011,62,324,7,804
Google Ads - Non-Brand | General Plumbing,Week 11,1532,57,340,7,785
Google Ads - Non-Brand | General Plumbing,Week 12,1978,64,339,7,763
Google Ads - Non-Brand | Hot Water Systems,Week 1,1239,55,352,4,1232
Google Ads - Non-Brand | Hot Water Systems,Week 2,1575,63,399,6,1564
Google Ads - Non-Brand | Hot Water Systems,Week 3,1232,56,385,5,1339
Google Ads - Non-Brand | Hot Water Systems,Week 4,1043,46,306,4,1062
Google Ads - Non-Brand | Hot Water Systems,Week 5,1012,46,317,4,1133
Google Ads - Non-Brand | Hot Water Systems,Week 6,876,38,283,3,827
Google Ads - Non-Brand | Hot Water Systems,Week 7,1093,48,328,4,1161
Google Ads - Non-Brand | Hot Water Systems,Week 8,952,43,297,4,1054
Google Ads - Non-Brand | Hot Water Systems,Week 9,874,40,285,3,802
Google Ads - Non-Brand | Hot Water Systems,Week 10,819,39,292,3,847
Google Ads - Non-Brand | Hot Water Systems,Week 11,1169,51,372,5,1278
Google Ads - Non-Brand | Hot Water Systems,Week 12,1363,58,428,4,1227
Google Ads - Non-Brand | Drain Cleaning,Week 1,1092,50,249,5,502
Google Ads - Non-Brand | Drain Cleaning,Week 2,987,47,264,6,680
Google Ads - Non-Brand | Drain Cleaning,Week 3,1031,48,261,7,753
Google Ads - Non-Brand | Drain Cleaning,Week 4,990,47,239,6,598
Google Ads - Non-Brand | Drain Cleaning,Week 5,1317,68,382,9,952
Google Ads - Non-Brand | Drain Cleaning,Week 6,1315,69,372,7,821
Google Ads - Non-Brand | Drain Cleaning,Week 7,1480,73,389,7,777
Google Ads - Non-Brand | Drain Cleaning,Week 8,1468,63,379,7,824
Google Ads - Non-Brand | Drain Cleaning,Week 9,872,42,220,5,542
Google Ads - Non-Brand | Drain Cleaning,Week 10,1017,45,251,4,450
Google Ads - Non-Brand | Drain Cleaning,Week 11,914,44,223,4,424
Google Ads - Non-Brand | Drain Cleaning,Week 12,985,43,243,5,547
Google Ads - Non-Brand | Bathroom Renovations,Week 1,1478,50,294,2,715
Google Ads - Non-Brand | Bathroom Renovations,Week 2,1411,48,295,2,659
Google Ads - Non-Brand | Bathroom Renovations,Week 3,1429,49,304,2,758
Google Ads - Non-Brand | Bathroom Renovations,Week 4,1182,36,250,3,957
Google Ads - Non-Brand | Bathroom Renovations,Week 5,1621,52,310,2,767
Google Ads - Non-Brand | Bathroom Renovations,Week 6,1387,46,271,2,746
Google Ads - Non-Brand | Bathroom Renovations,Week 7,1172,39,266,2,639
Google Ads - Non-Brand | Bathroom Renovations,Week 8,1190,40,259,2,690
Google Ads - Non-Brand | Bathroom Renovations,Week 9,1539,49,299,2,755
Google Ads - Non-Brand | Bathroom Renovations,Week 10,1690,48,292,2,728
Google Ads - Non-Brand | Bathroom Renovations,Week 11,1254,39,267,2,756
Google Ads - Non-Brand | Bathroom Renovations,Week 12,1402,43,291,2,693
Google Ads - Remarketing | Website Visitors,Week 1,6898,92,143,3,408
Google Ads - Remarketing | Website Visitors,Week 2,6566,92,128,2,277
Google Ads - Remarketing | Website Visitors,Week 3,6061,81,118,2,264
Google Ads - Remarketing | Website Visitors,Week 4,5596,90,139,3,450
Google Ads - Remarketing | Website Visitors,Week 5,5187,81,122,3,423
Google Ads - Remarketing | Website Visitors,Week 6,6118,98,144,4,532
Google Ads - Remarketing | Website Visitors,Week 7,5786,83,116,2,269
Google Ads - Remarketing | Website Visitors,Week 8,5734,88,122,2,294
Google Ads - Remarketing | Website Visitors,Week 9,5544,84,122,3,421
Google Ads - Remarketing | Website Visitors,Week 10,5987,80,129,3,418
Google Ads - Remarketing | Website Visitors,Week 11,6068,89,124,3,428
