Customer_ID,First_Purchase_Date,Source,Total_Orders,Total_Spend,Last_Order_Date,Category_Most_Purchased
C10001,2025-05-27,Google Shopping,1,172.19,2025-05-27,Home & Garden
C10002,2025-10-22,Meta,3,668.42,2025-12-13,Sports
C10003,2025-08-22,Organic,1,201.73,2025-08-22,Electronics
C10004,2025-04-02,Google Shopping,1,140.55,2025-04-02,Electronics
C10005,2025-03-26,Meta,1,165.05,2025-03-26,Sports
C10006,2025-03-11,Social,1,109.38,2025-03-11,Accessories
C10007,2025-01-01,Organic,2,418.34,2025-09-16,Home & Garden
C10008,2025-10-25,Google Shopping,1,231.67,2025-10-25,Accessories
C10009,2025-10-07,Social,1,90.42,2025-10-07,Home & Garden
C10010,2025-12-26,Meta,3,704.27,2025-12-13,Accessories
C10011,2025-06-05,Organic,3,521.84,2025-09-20,Electronics
C10012,2025-05-20,Google Shopping,4,783.45,2025-10-14,Electronics
C10013,2025-01-24,Email,8,1401.63,2025-04-15,Electronics
C10014,2025-01-19,Organic,7,1088.44,2025-05-17,Electronics
C10015,2025-06-11,Referral,3,515.76,2025-09-01,Accessories
C10016,2025-11-16,Meta,1,241.35,2025-11-16,Accessories
C10017,2025-04-14,Organic,3,679.83,2025-10-15,Sports
C10018,2025-10-16,Social,1,108.67,2025-10-16,Sports
C10019,2025-07-21,Organic,2,448.4,2025-11-10,Sports
C10020,2025-09-26,Social,4,782.77,2025-11-02,Electronics
C10021,2025-08-04,Organic,1,178.99,2025-08-04,Sports
C10022,2025-04-12,Meta,1,203.39,2025-04-12,Electronics
C10023,2025-11-19,Email,1,158.38,2025-11-19,Electronics
C10024,2025-02-24,Google Shopping,1,131.13,2025-02-24,Electronics
C10025,2025-02-17,Google Shopping,1,177.51,2025-02-17,Electronics
C10026,2025-10-02,Google Shopping,1,168.75,2025-10-02,Accessories
C10027,2025-01-17,Meta,3,616.39,2025-08-23,Accessories
C10028,2025-08-26,Google Shopping,3,535.46,2025-09-15,Electronics
C10029,2025-04-02,Google Shopping,1,188.3,2025-04-02,Home & Garden
C10030,2025-10-20,Social,1,135.8,2025-10-20,Home & Garden
C10031,2025-05-12,Organic,1,164.28,2025-05-12,Home & Garden
C10032,2025-08-03,Google Shopping,3,599.13,2025-09-11,Accessories
C10033,2025-01-12,Meta,1,218.79,2025-01-12,Accessories
C10034,2025-01-21,Email,8,1681.12,2025-04-20,Sports
C10035,2025-02-05,Meta,3,794.64,2025-08-20,Sports
C10036,2025-05-16,Meta,1,223.84,2025-05-16,Home & Garden
C10037,2025-09-12,Google Shopping,4,435.12,2025-11-05,Electronics
C10038,2025-08-09,Organic,1,105.39,2025-08-09,Accessories
C10039,2025-09-09,Google Shopping,1,209.55,2025-09-09,Accessories
C10040,2025-05-05,Google Shopping,1,150.54,2025-05-05,Accessories
C10041,2025-01-13,Google Shopping,3,488.43,2025-06-24,Accessories
C10042,2025-01-26,Meta,1,191.29,2025-01-26,Accessories
C10043,2025-08-28,Social,2,287.16,2025-11-21,Sports
C10044,2025-04-14,Organic,4,516.45,2025-10-08,Accessories
C10045,2025-03-24,Organic,1,127.8,2025-03-24,Home & Garden
C10046,2025-09-27,Organic,7,1607.77,2025-10-20,Sports
C10047,2025-10-06,Organic,1,173.83,2025-10-06,Electronics
C10048,2025-01-09,Google Shopping,2,368.33,2025-04-18,Home & Garden
C10049,2025-07-26,Meta,1,186.47,2025-07-26,Sports
C10050,2025-02-26,Social,2,237.8,2025-07-02,Electronics
C10051,2025-09-04,Meta,1,226.27,2025-09-04,Electronics
