Search Term,Campaign,Match Type,Impressions,Clicks,Cost,Conversions,Conv Value
datapulse analytics,Search - Brand,Exact,1240,142,355.00,21,10500.00
datapulse login,Search - Brand,Exact,890,108,216.00,13,6500.00
datapulse analytics pricing,Search - Brand,Exact,520,78,195.00,11,5500.00
datapulse analytics review,Search - Brand,Exact,380,52,130.00,6,3000.00
datapulse analytics demo,Search - Brand,Exact,290,43,107.50,7,3500.00
datapulse dashboard,Search - Brand,Exact,340,47,117.50,5,2500.00
datapulse analytics free trial,Search - Brand,Exact,310,51,127.50,8,4000.00
datapulse crm integration,Search - Brand,Exact,180,24,60.00,3,1500.00
datapulse vs competitors,Search - Brand,Broad,210,28,84.00,2,1000.00
datapulse analytics support,Search - Brand,Exact,240,31,62.00,1,500.00
analytics software for business,Search - Generic,Broad,2240,76,608.00,4,2000.00
business analytics platform,Search - Generic,Broad,1890,68,544.00,3,1500.00
data analytics dashboard software,Search - Generic,Broad,1620,58,464.00,3,1500.00
real time analytics dashboard,Search - Generic,Broad,1480,47,376.00,3,1500.00
marketing analytics tool,Search - Generic,Broad,2310,82,656.00,4,2000.00
business intelligence platform,Search - Generic,Broad,2080,71,568.00,3,1500.00
analytics reporting software,Search - Generic,Broad,1740,61,488.00,2,1000.00
data visualization software,Search - Generic,Broad,2190,64,512.00,2,1000.00
kpi dashboard software,Search - Generic,Broad,1120,42,336.00,2,1000.00
automated reporting tool,Search - Generic,Broad,1290,48,384.00,2,1000.00
predictive analytics software,Search - Generic,Broad,1640,45,360.00,1,500.00
customer analytics platform,Search - Generic,Broad,1340,42,336.00,2,1000.00
web analytics platform,Search - Generic,Broad,1920,56,448.00,1,500.00
marketing dashboard software,Search - Generic,Broad,1490,51,408.00,2,1000.00
saas analytics tool,Search - Generic,Broad,980,34,272.00,2,1000.00
real time reporting dashboard,Search - Generic,Broad,1050,37,296.00,1,500.00
business metrics dashboard,Search - Generic,Broad,910,32,256.00,1,500.00
